"new.name" "old.name"
"1" "timeBodyaccelerometermean()-X" "tBodyAcc-mean()-X"
"2" "timeBodyaccelerometermean()-Y" "tBodyAcc-mean()-Y"
"3" "timeBodyaccelerometermean()-Z" "tBodyAcc-mean()-Z"
"4" "timeBodyaccelerometerstd()-X" "tBodyAcc-std()-X"
"5" "timeBodyaccelerometerstd()-Y" "tBodyAcc-std()-Y"
"6" "timeBodyaccelerometerstd()-Z" "tBodyAcc-std()-Z"
"7" "timeGravityaccelerometermean()-X" "tGravityAcc-mean()-X"
"8" "timeGravityaccelerometermean()-Y" "tGravityAcc-mean()-Y"
"9" "timeGravityaccelerometermean()-Z" "tGravityAcc-mean()-Z"
"10" "timeGravityaccelerometerstd()-X" "tGravityAcc-std()-X"
"11" "timeGravityaccelerometerstd()-Y" "tGravityAcc-std()-Y"
"12" "timeGravityaccelerometerstd()-Z" "tGravityAcc-std()-Z"
"13" "timeBodyaccelerometerJerkmean()-X" "tBodyAccJerk-mean()-X"
"14" "timeBodyaccelerometerJerkmean()-Y" "tBodyAccJerk-mean()-Y"
"15" "timeBodyaccelerometerJerkmean()-Z" "tBodyAccJerk-mean()-Z"
"16" "timeBodyaccelerometerJerkstd()-X" "tBodyAccJerk-std()-X"
"17" "timeBodyaccelerometerJerkstd()-Y" "tBodyAccJerk-std()-Y"
"18" "timeBodyaccelerometerJerkstd()-Z" "tBodyAccJerk-std()-Z"
"19" "timeBodygyroscopemean()-X" "tBodyGyro-mean()-X"
"20" "timeBodygyroscopemean()-Y" "tBodyGyro-mean()-Y"
"21" "timeBodygyroscopemean()-Z" "tBodyGyro-mean()-Z"
"22" "timeBodygyroscopestd()-X" "tBodyGyro-std()-X"
"23" "timeBodygyroscopestd()-Y" "tBodyGyro-std()-Y"
"24" "timeBodygyroscopestd()-Z" "tBodyGyro-std()-Z"
"25" "timeBodygyroscopeJerkmean()-X" "tBodyGyroJerk-mean()-X"
"26" "timeBodygyroscopeJerkmean()-Y" "tBodyGyroJerk-mean()-Y"
"27" "timeBodygyroscopeJerkmean()-Z" "tBodyGyroJerk-mean()-Z"
"28" "timeBodygyroscopeJerkstd()-X" "tBodyGyroJerk-std()-X"
"29" "timeBodygyroscopeJerkstd()-Y" "tBodyGyroJerk-std()-Y"
"30" "timeBodygyroscopeJerkstd()-Z" "tBodyGyroJerk-std()-Z"
"31" "timeBodyaccelerometermagnitudemean()" "tBodyAccMag-mean()"
"32" "timeBodyaccelerometermagnitudestd()" "tBodyAccMag-std()"
"33" "timeGravityaccelerometermagnitudemean()" "tGravityAccMag-mean()"
"34" "timeGravityaccelerometermagnitudestd()" "tGravityAccMag-std()"
"35" "timeBodyaccelerometerJerkmagnitudemean()" "tBodyAccJerkMag-mean()"
"36" "timeBodyaccelerometerJerkmagnitudestd()" "tBodyAccJerkMag-std()"
"37" "timeBodygyroscopemagnitudemean()" "tBodyGyroMag-mean()"
"38" "timeBodygyroscopemagnitudestd()" "tBodyGyroMag-std()"
"39" "timeBodygyroscopeJerkmagnitudemean()" "tBodyGyroJerkMag-mean()"
"40" "timeBodygyroscopeJerkmagnitudestd()" "tBodyGyroJerkMag-std()"
"41" "frequencyBodyaccelerometermean()-X" "fBodyAcc-mean()-X"
"42" "frequencyBodyaccelerometermean()-Y" "fBodyAcc-mean()-Y"
"43" "frequencyBodyaccelerometermean()-Z" "fBodyAcc-mean()-Z"
"44" "frequencyBodyaccelerometerstd()-X" "fBodyAcc-std()-X"
"45" "frequencyBodyaccelerometerstd()-Y" "fBodyAcc-std()-Y"
"46" "frequencyBodyaccelerometerstd()-Z" "fBodyAcc-std()-Z"
"47" "frequencyBodyaccelerometermeanFreq()-X" "fBodyAcc-meanFreq()-X"
"48" "frequencyBodyaccelerometermeanFreq()-Y" "fBodyAcc-meanFreq()-Y"
"49" "frequencyBodyaccelerometermeanFreq()-Z" "fBodyAcc-meanFreq()-Z"
"50" "frequencyBodyaccelerometerJerkmean()-X" "fBodyAccJerk-mean()-X"
"51" "frequencyBodyaccelerometerJerkmean()-Y" "fBodyAccJerk-mean()-Y"
"52" "frequencyBodyaccelerometerJerkmean()-Z" "fBodyAccJerk-mean()-Z"
"53" "frequencyBodyaccelerometerJerkstd()-X" "fBodyAccJerk-std()-X"
"54" "frequencyBodyaccelerometerJerkstd()-Y" "fBodyAccJerk-std()-Y"
"55" "frequencyBodyaccelerometerJerkstd()-Z" "fBodyAccJerk-std()-Z"
"56" "frequencyBodyaccelerometerJerkmeanFreq()-X" "fBodyAccJerk-meanFreq()-X"
"57" "frequencyBodyaccelerometerJerkmeanFreq()-Y" "fBodyAccJerk-meanFreq()-Y"
"58" "frequencyBodyaccelerometerJerkmeanFreq()-Z" "fBodyAccJerk-meanFreq()-Z"
"59" "frequencyBodygyroscopemean()-X" "fBodyGyro-mean()-X"
"60" "frequencyBodygyroscopemean()-Y" "fBodyGyro-mean()-Y"
"61" "frequencyBodygyroscopemean()-Z" "fBodyGyro-mean()-Z"
"62" "frequencyBodygyroscopestd()-X" "fBodyGyro-std()-X"
"63" "frequencyBodygyroscopestd()-Y" "fBodyGyro-std()-Y"
"64" "frequencyBodygyroscopestd()-Z" "fBodyGyro-std()-Z"
"65" "frequencyBodygyroscopemeanFreq()-X" "fBodyGyro-meanFreq()-X"
"66" "frequencyBodygyroscopemeanFreq()-Y" "fBodyGyro-meanFreq()-Y"
"67" "frequencyBodygyroscopemeanFreq()-Z" "fBodyGyro-meanFreq()-Z"
"68" "frequencyBodyaccelerometermagnitudemean()" "fBodyAccMag-mean()"
"69" "frequencyBodyaccelerometermagnitudestd()" "fBodyAccMag-std()"
"70" "frequencyBodyaccelerometermagnitudemeanFreq()" "fBodyAccMag-meanFreq()"
"71" "frequencybodyaccelerometerJerkmagnitudemean()" "fBodyBodyAccJerkMag-mean()"
"72" "frequencybodyaccelerometerJerkmagnitudestd()" "fBodyBodyAccJerkMag-std()"
"73" "frequencybodyaccelerometerJerkmagnitudemeanFreq()" "fBodyBodyAccJerkMag-meanFreq()"
"74" "frequencybodygyroscopemagnitudemean()" "fBodyBodyGyroMag-mean()"
"75" "frequencybodygyroscopemagnitudestd()" "fBodyBodyGyroMag-std()"
"76" "frequencybodygyroscopemagnitudemeanFreq()" "fBodyBodyGyroMag-meanFreq()"
"77" "frequencybodygyroscopeJerkmagnitudemean()" "fBodyBodyGyroJerkMag-mean()"
"78" "frequencybodygyroscopeJerkmagnitudestd()" "fBodyBodyGyroJerkMag-std()"
"79" "frequencybodygyroscopeJerkmagnitudemeanFreq()" "fBodyBodyGyroJerkMag-meanFreq()"
"80" "angle(timebodyaccelerometerMean,gravity)" "angle(tBodyAccMean,gravity)"
"81" "angle(timebodyaccelerometerJerkMean),gravityMean)" "angle(tBodyAccJerkMean),gravityMean)"
"82" "angle(timebodygyroscopeMean,gravityMean)" "angle(tBodyGyroMean,gravityMean)"
"83" "angle(timebodygyroscopeJerkMean,gravityMean)" "angle(tBodyGyroJerkMean,gravityMean)"
"84" "angle(X,gravityMean)" "angle(X,gravityMean)"
"85" "angle(Y,gravityMean)" "angle(Y,gravityMean)"
"86" "angle(Z,gravityMean)" "angle(Z,gravityMean)"
"87" "activity" "activity"
"88" "subject" "subject"
